기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
252,LUPPITER,KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode16,10.4.224.77,AP,　,p-mon-was-02,Running,10.4.224.94,-,p-mon-was-02,p-mon-was-02,centos-7.9-64bit,8,16,-,-,"JAR_FILE: luppiter_web-2.0.0.war
Spring Boot Version: 2.7.9",-,10.217.192.21,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,"openjdk version ""17""",Python 3.6.8,Disabled,사용안함,O,O,O,X
253,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode12,10.4.224.46,WEB,　,p-mon-web-01,Running,10.4.224.91,-,p-mon-web-01,p-mon-web-01,centos-7.9-64bit,4,4,-,Apache/2.4.63,-,-,10.217.192.13,10.217.192.15,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Permissive,사용안함,O,O,O,X
254,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode16,10.4.224.77,WEB,　,p-mon-web-02,Running,10.4.224.92,-,p-mon-web-02,p-mon-web-02,centos-7.9-64bit,4,4,-,Apache/2.4.63,-,-,10.217.192.14,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
255,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode12,10.4.224.46,AP,　,p-mon-zabbix-ap-01,Running,10.4.224.33,-,p-mon-zabbix-ap-01,p-mon-zabbix-ap-01,centos-7.9-64bit,4,8,-,-,-,-,-,-,-,-,-,-,-,-,　,　,　,-,-,-,-,-,O,　,　,　
256,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode12,10.4.224.46,DB,　,p-mon-zabbix-db-01,Running,10.4.224.34,-,p-mon-zabbix-db-01,p-mon-zabbix-db-01,centos-7.9-64bit,4,8,PostgreSQL 13.5,-,-,-,-,-,SSD,34.4 GB,SSD,"107.4 GB
536.9 GB",-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
257,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode12,10.4.224.46,AP,　,p-mon-zabbix-proxy-01,Running,10.4.224.40,-,p-mon-zabbix-proxy-01,p-mon-zabbix-proxy-01,centos-7.9-64bit,2,4,-,-,zabbix_proxy 5.0.25,-,-,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
258,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode11,10.4.224.45,WEB,　,p-mon-zabbix-web-01,Running,10.4.224.30,-,p-mon-zabbix-web-01,p-mon-zabbix-web-01,centos-7.9-64bit,4,8,-,Apache/2.4.63,-,-,10.217.192.25,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
259,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,분당,VMW-BD-PRD-KTIS,-,-,-,AP,　,bd-jpt-prd-zab-p01,Running,172.31.187.240,-,bd-jpt-prd-zab-p01,BD-JPT-PRD-ZAB-P01,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,"172.31.50.153
172.31.206.196",-,-,107.4 GB,-,53.7 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
260,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,분당,VMW-BD-PRD-KTIS,-,-,-,AP,　,bd-jpt-prd-zab-p03,Running,172.31.187.244,-,bd-jpt-prd-zab-p03,BD-JPT-PRD-ZAB-P03,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,"172.31.50.154
172.31.206.198",-,-,107.4 GB,-,53.7 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
261,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,분당,VMW-BD-PRD-KTIS,-,-,-,DB,　,bd-jpt-prd-zab-d01,Running,172.31.187.242,-,bd-jpt-prd-zab-d01,BD-JPT-PRD-ZAB-D01,centos-7.9-64bit,8,8,PostgreSQL 13.5,-,-,-,172.31.206.197,-,-,107.4 GB,-,182.5 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
262,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,분당,VMW-BD-PRD-KTIS,-,-,-,DB,　,bd-jpt-prd-zab-d03,Running,172.31.187.246,-,bd-jpt-prd-zab-d03,BD-JPT-PRD-ZAB-D03,centos-7.9-64bit,8,8,PostgreSQL 13.5,-,-,-,172.31.206.199,-,-,107.4 GB,-,182.5 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
